Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
Neon,NEON,$0.3678,-0.16%,$370.41 K,$363.9 M,$32 M,3.67x,$45 M,"Jul 16, 2023"
TypeIT,TYPE,$0.000046,16.20%,$4.86 K,$46 K,,0.01x,,"Jul 12, 2023"
Goracle,GORA,$0.0891,5.82%,$6.49 K,$575.49 K,$575.49 K,0.2x,$2 M,"Jul 9, 2023"
INTOverse,TOX,$0.1406,-3.33%,$3.11 M,$1.8 B,,0.78x,,"Jul 8, 2023"
Rodeo,RDO,$0.00942,2.02%,$148.44,$944 K,,0.11x,$1.06 M,"Jul 5, 2023"
Neutron,NTRN,$0.3845,3.28%,$3.31 M,$385.14 M,$129.54 M,4.27x,$10 M,"Jul 5, 2023"
Getaverse,GETA,$0.000129,-3.16%,$4.47 K,$645 K,,0.01x,$40 K,"Jul 5, 2023"
EGO (Paysenger),EGO,$0.01364,-11.78%,$276.43 K,$6.79 M,$1.47 M,0.23x,$4.68 M,"Jul 5, 2023"
Nolus,NLS,$0.01464,-6.99%,$698.91,$12.76 M,,0.36x,$2.5 M,"Jul 2, 2023"
KYVE,KYVE,$0.02494,-1.09%,$12.77 K,$28.16 M,$16.23 M,0.07x,$12.8 M,"Jun 30, 2023"
Metatime,MTC,$0.00404,6.84%,$7.01 K,$40.4 M,,0.03x,$11 M,"Jun 27, 2023"
Maverick Protocol,MAV,$0.178,3.32%,$7.48 M,$355.8 M,$44.5 M,1.78x,$17.46 M,"Jun 27, 2023"
Ethlas,ELS,$0.034,0.30%,$4.1 K,$11.87 M,,0.11x,$9.13 M,"Jun 27, 2023"
Penpie,PNP,$1.57,1.92%,$6.63 K,$15.64 M,$2.36 M,5.34x,$586 K,"Jun 22, 2023"
VCORE,VCORE,$0.00122,0.25%,$936.47,$9.76 M,,0.12x,,"Jun 20, 2023"
Flappy Moonbird,,$0.01887,-0.44%,$2.61 M,$18.88 M,,0.92x,$8 M,"Jun 20, 2023"
Joystream,JOY,$0.00693,-2.46%,$78.37 K,$7.5 M,$6.77 M,0.12x,$13 M,"Jun 20, 2023"
Abyss World,AWT,$0.000071,21.23%,$1.6 M,$710 K,,0.01x,,"Jun 14, 2023"
OtterHome,HOME,$0.00000914,0.44%,$8.95 K,$3.62 K,,0.02x,$120 K,"Jun 13, 2023"
Cogito Protocol,CGV,$0.03686,1.83%,$22 K,$36.8 M,$4.62 M,0.92x,,"Jun 13, 2023"
HyperGPT,HGPT,$0.02644,5.34%,$1.22 M,$26.33 M,$14.83 M,3.31x,$1.67 M,"Jun 12, 2023"
Suiswap,SSWP,$0.000347,8.65%,$223.64 K,$3.48 M,$3.07 M,0.18x,,"Jun 12, 2023"
SphereSXS,,$0.000169,2.19%,$58.17,$16.9 K,$3.21 K,0.01x,$9.98 M,"Jun 8, 2023"
KTX.Finance,KTC,$0.1962,5.33%,$343.65 K,$19.81 M,,0.19x,$4 M,"Jun 5, 2023"
The Qwan,QWAN,$0.00595,9.78%,$832.92,$5.95 M,,0.04x,$120 K,"Jun 2, 2023"
Synergy Land,SNG,$0.01453,-5.34%,$1.59 K,$2.92 M,,0.12x,$4.2 M,"May 31, 2023"
Wistaverse,WISTA,$0.00131,-16.74%,$164.94,$55.02 K,,0.02x,$882 K,"May 30, 2023"
Eldarune,ELDA,$0.00411,-3.80%,$360.91 K,$2.43 M,$733.39 K,0.27x,$1.75 M,"May 30, 2023"
Bware Labs,BWR,$0.3476,7.44%,$199.64 K,$26.06 M,$1.44 M,2.9x,$6.85 M,"May 29, 2023"
Orbofi,OBI,$0.00916,-7.13%,$254.6 K,$18.32 M,$5.87 M,1.14x,$2.93 M,"May 29, 2023"
WeFi,WEFI,$0.03535,-6.52%,$51.28 K,$3.56 M,$1.48 M,0.12x,$125 K,"May 24, 2023"
Tenet,TENET,$0.00671,-3.14%,$320.75 K,$8.05 M,,0.34x,$2.4 M,"May 24, 2023"
The Unfettered,SOULS,$0.00139,2.25%,$121.49 K,$3.15 M,$1.15 M,0.15x,$2.92 M,"May 22, 2023"
Suia,SUIA,$0.03497,6.20%,$17.54 K,$3.5 M,,0.09x,$1.62 M,"May 15, 2023"
LimeWire,LMWR,$0.2014,-8.94%,$3.99 M,$127.75 M,$58.38 M,1.01x,$35.17 M,"May 15, 2023"
FitBurn,CAL,$0.000109,5.81%,$28.15 K,$216.86 K,$134.8 K,0.01x,$4.9 M,"May 14, 2023"
Finblox,FBX,$0.000044,7.79%,$13.97 K,$416.56 K,$88.05 K,0.01x,$7.95 M,"May 14, 2023"
Turbos Finance,TURBOS,$0.00221,15.19%,$560.71 K,$8.32 M,,0.44x,$3.75 M,"May 14, 2023"
Karate Combat,KARATE,$0.000582,-2.97%,$213.13 K,$64.02 M,,0.8x,$22.4 M,"May 11, 2023"
Hepton,HTE,$0.000222,27.69%,$26.25 K,$229.03 K,,0.04x,$650.75 K,"May 10, 2023"
GoGoPool,,$4.212,0.37%,$4.66 K,$75.49 M,,2.19x,$5 M,"May 10, 2023"
ArbiPad,ARBI,$0.000096,0.47%,$60.12 K,$960 K,,0.19x,$2.13 M,"May 10, 2023"
SuiPad,SUIP,$0.03492,17.02%,$164.31 K,$3.49 M,,0.69x,$1.7 M,"May 10, 2023"
zkApes,,$0,-12.16%,$2.29 K,$319 K,,0.01x,,"May 9, 2023"
Cetus protocol,,$0.07332,14.94%,$6.42 M,$73.89 M,$20.53 M,1.48x,$1 M,"May 9, 2023"
pizabrc,piza,$0.1046,-4.73%,$420.16 K,$2.18 M,,0.21x,,"May 9, 2023"
Hypercycle,HYPC,$0.2799,-0.66%,$35.9 K,$601.3 M,,3.34x,$9.38 M,"May 7, 2023"
Coinzix,ZIX,$0.000034,8.95%,$28.81 K,$204 K,,0.07x,$2.24 M,"May 4, 2023"
SUI,SUI,$1.057,15.24%,$531.58 M,$10.67 B,$2.56 B,35.34x,$385.37 M,"May 2, 2023"
Open Campus,EDU,$0.5441,0.75%,$9.86 M,$536 M,$179.47 M,10.87x,$5.65 M,"Apr 27, 2023"
BlueSale,BLS,$0.2596,-5.85%,$164.28 K,$135.15 K,,0.32x,$2.53 M,"Apr 27, 2023"
Alaska Gold Rush,CARAT,$0.0021,-1.38%,$3.98 K,$1.97 M,,0.07x,$270 K,"Apr 20, 2023"
Iron Fish,IRON,$0.6439,0.18%,$102.93 K,$35.89 M,$28.52 M,0.14x,$32.9 M,"Apr 19, 2023"
GoSleep,ZZZ,$0.1173,-0.85%,$166.67 K,$49.8 M,,1.41x,$2 M,"Apr 18, 2023"
PlayZap,PLAYZAP,$0.0846,-0.37%,$563.73 K,$12.68 M,$4.84 M,0.7x,$4.36 M,"Apr 18, 2023"
Yesports,YESP,$0.00021,-8.61%,$650.67,$210 K,,0.01x,$6.28 M,"Apr 14, 2023"
XCAD Network PLAY,PLAY,$0.00031,-3.13%,$2.78 K,$431 K,$348.37 K,0.03x,$280 K,"Apr 13, 2023"
Delysium,AGI,$0.1378,1.10%,$5.07 M,$411.3 M,$122.39 M,4.12x,$14.02 M,"Apr 11, 2023"
Reality Metaverse,RLTM,$0.01563,1.26%,$184.96 K,$15.64 M,$3.91 M,0.39x,$6.72 M,"Apr 10, 2023"
HoneyWood,CONE,$0.005,-0.10%,$119.96,$94.97 K,,0.03x,$490 K,"Apr 9, 2023"
ChainGPT,CGPT,$0.1165,0.22%,$7.67 M,$113.5 M,$62.72 M,14.61x,$1.91 M,"Apr 9, 2023"
Coniun,CONI,$0.00343,-2.86%,$25.7,$4.5 M,,0.08x,$695 K,"Apr 6, 2023"
WiFi Map,WIFI,$0.04697,-2.74%,$292.25 K,$46.96 M,$14.05 M,1.88x,$1.65 M,"Apr 6, 2023"
Thala Labs,,$0.3917,1.70%,$94.66 K,$39.18 M,$17.04 M,0.84x,$6 M,"Apr 5, 2023"
Arken Finance,ARKEN,$0.0006,2.26%,$1.09 K,$598 K,,0.15x,$2.01 M,"Apr 5, 2023"
Sector Finance,,$0.02817,2.31%,$45.84,$2.81 M,,0.11x,$2.62 M,"Apr 3, 2023"
Roseon,ROSX,$0.00774,-2.22%,$29.44 K,$694.23 K,$694.23 K,0.05x,$3.2 M,"Apr 3, 2023"
Stella Fantasy,SFTY,$0.00139,-8.03%,$10.6 K,$1.39 M,,0.01x,$5.15 M,"Apr 3, 2023"
OVO NFT Platform,OVO,$0.00187,-1.59%,$815.94,$310.2 K,,0.01x,,"Mar 24, 2023"
Arbitrum,ARB,$0.5845,3.46%,$195.64 M,$5.85 B,$1.95 B,4.87x,$123.7 M,"Mar 23, 2023"
Myria,MYRIA,$0.002,-4.50%,$438.24 K,$100 M,$43.31 M,1x,$40 K,"Mar 22, 2023"
Perpy,PRY,$0.0017,3.01%,$112.77 K,$1.69 M,$1.03 M,0.08x,$5 M,"Mar 21, 2023"
LSDx Finance,,$0.00309,0.74%,$7.64,$1.54 M,,0.07x,$2 M,"Mar 21, 2023"
Space ID,ID,$0.3781,0.47%,$7.62 M,$754.68 M,$250.39 M,15.12x,$12.5 M,"Mar 21, 2023"
Exorde,EXD,$0.02353,1.97%,$62.25 K,$70 M,,0.07x,$3.37 M,"Mar 20, 2023"
Mintlayer,ML,$0.09208,-5.80%,$1.26 M,$37.54 M,$5.91 M,0.37x,$5.7 M,"Mar 20, 2023"
Wrapped Minima,WMINIMA,$0.05499,1.59%,$190.54 K,$6.75 M,,0.18x,$18.62 M,"Mar 20, 2023"
Honeyland,HXD,$0.02392,-4.54%,$25.89 K,$24.22 M,,0.69x,,"Mar 16, 2023"
PodFast,FAST,$0.00262,-67.13%,$425.7,$80.04 K,,0.13x,$320 K,"Mar 15, 2023"
Degen Zoo,DZOO,$0.00411,1.20%,$437.71 K,$4.12 M,,0.69x,$2.4 M,"Mar 15, 2023"
Onomy,,$0.02796,-3.80%,$20.9 K,$4.65 M,$3.61 M,0.02x,$10 M,"Mar 15, 2023"
Staika,STIK,$2.255,-0.49%,$358.11 K,$566.75 M,,9.07x,,"Mar 14, 2023"
Megaton Finance,MEGA,$0.0525,-2.40%,$57.74 K,$5.24 M,,0.03x,$1.5 M,"Mar 13, 2023"
Rejuve.AI,RJV,$0.01132,-3.10%,$696.08 K,$11.38 M,$2.78 M,0.75x,$3.75 M,"Mar 12, 2023"
Games For a Living,GFAL,$0.01126,-5.51%,$1.63 M,$112.7 M,$28.51 M,2.82x,$8.87 M,"Mar 12, 2023"
CryptoGPT,GPT,$0.01193,-2.28%,$1.47 M,$34.55 M,$3.79 M,0.14x,$16.15 M,"Mar 9, 2023"
Equilibrium,EQ,$0.000024,-0.40%,$27.92 K,$300 K,,0.01x,$8.61 M,"Mar 9, 2023"
unshETH,UNSHETH,$0.00192,-0.22%,$245.09,$274.08 K,$91.92 K,0.04x,$3.3 M,"Mar 6, 2023"
INX,INX,$0.16,-11.13%,$479.92,$32 M,,0.5x,$5.25 M,"Mar 6, 2023"
PIP,PIP,$0.03296,-3.17%,$23.49 K,$32.95 M,,0.36x,,"Mar 6, 2023"
SHELTERZ,TERZ,$0.00256,1.54%,$8.9,$146.44 K,,0.15x,$1.07 M,"Mar 5, 2023"
PARMA Fan Token,PARMA,$0.02574,-14.32%,$2.52 K,$514.4 K,,0.03x,$3.09 M,"Feb 28, 2023"
BinaryX,BNX,$1.35,9.31%,$9.09 M,$757.23 M,$504.25 M,1.32x,,"Feb 27, 2023"
TopGoal,GOAL,$0.01635,7.22%,$728.99 K,$16.02 M,$4.7 M,0.02x,$50 K,"Feb 26, 2023"
FactorDAO,FCTR,$0.08392,0.24%,$32.09 K,$8.34 M,$1.26 M,0.11x,$7.79 M,"Feb 25, 2023"
Black Stallion,BS,$0.0306,-13.34%,$10.8 K,$7.34 M,,0.1x,$360 K,"Feb 25, 2023"
Arbitrove Protocol,TROVE,$0.00326,1.23%,$27.57 K,$3.25 M,$978 K,0.05x,$13.15 M,"Feb 22, 2023"
sudoswap,SUDO,$0.08693,3.91%,$35.04 K,$5.04 M,,0.03x,,"Feb 18, 2023"
Carbon,CSIX,$0.02037,-3.80%,$5.82 M,$19.17 M,$8.08 M,2.04x,$1.9 M,"Feb 16, 2023"
IguVerse,IGU,$0.00473,-9.26%,$1.2 M,$1.86 M,$1.38 M,0.02x,$2.71 M,"Feb 15, 2023"
AngelBlock,THOL,$0.00874,3.87%,$44 K,$3.69 M,$1.47 M,0.11x,$3.98 M,"Feb 14, 2023"
Access Protocol,ACS,$0.00148,-1.06%,$893.9 K,$129.81 M,$52.71 M,0.19x,$1.2 M,"Feb 14, 2023"
Blur,BLUR,$0.1624,6.68%,$69.49 M,$488.7 M,$292.52 M,0.03x,$31 M,"Feb 13, 2023"
Cheelee,,$21.45,1.20%,$2.52 M,$21.45 B,$1.15 B,16.51x,$23.05 M,"Feb 9, 2023"
Davos Protocol,DAVOS,$1.011,2.26%,$162.96,,,1.01x,$500 K,"Feb 8, 2023"
BlueMove,MOVE,$0.0346,5.26%,$3.03 K,$10.38 M,$5.73 M,0.87x,$400 K,"Feb 8, 2023"
Pine,PINE,$0.00499,0.62%,$8.04 K,$1 M,,0.02x,$4.82 M,"Feb 8, 2023"
CarrieVerse,CVTX,$0.02872,-0.55%,$7.94 M,$28.79 M,,0.41x,$120 K,"Feb 2, 2023"
Thena,THE,$0.2079,-4.29%,$898.81,$40.6 M,$3.18 M,0.62x,$600 K,"Jan 29, 2023"
Dash 2 Trade,D2T,$0.00257,-0.44%,$5.85 K,$2.56 M,,0.05x,$15.54 M,"Jan 20, 2023"
Socol,,$0.000907,-2.84%,$105.22 K,$122.9 K,,0.01x,$6.25 M,"Jan 18, 2023"
MTG,MTG,$0.000172,-11.64%,$30.19,$172 K,,0.05x,$375 K,"Jan 18, 2023"
Tomi,TOMI,$0.08702,-13.44%,$9.09 M,$13.79 M,$12.38 M,0.33x,,"Jan 16, 2023"
tomiNet,TOMI,$0.08702,-13.44%,$9.09 M,$13.76 M,$12.38 M,0.33x,$40.1 M,"Jan 15, 2023"
Astra Protocol,ASTRA,$0.00046,-0.11%,$7.75 K,$300 M,,0.01x,$128.57 M,"Jan 15, 2023"
Alongside,AMKT,$166.21,-1.49%,$5.28 K,$1.75 M,,2.46x,$11 M,"Jan 12, 2023"
Flare,FLR,$0.01532,-1.07%,$2.12 M,$1.54 B,$656.54 M,0.61x,$46.3 M,"Jan 9, 2023"
Image Generation AI,IMGNAI,$0.00849,6.96%,$31.73 K,$8.5 M,$6.6 M,17.54x,$1.6 M,"Jan 5, 2023"
Echelon Prime,PRIME,$5.84,-1.77%,$1.24 M,$646.67 M,$208.92 M,1.13x,,"Jan 2, 2023"
Astroport,,$0.03233,-2.76%,$3.59 K,$38.28 M,,0.54x,$1.34 M,"Dec 26, 2022"
Terra2,LUNA,$0.3384,1.32%,$18.45 M,$403.12 M,$277.58 M,0.02x,,"Dec 20, 2022"
Sense4Fit,SFIT,$0.00056,-0.05%,$86.68,$552 K,,0.02x,$680 K,"Dec 19, 2022"
Medieval Empires,MEE,$0.00633,-1.30%,$441.52 K,$10.29 M,,0.63x,$7.64 M,"Dec 19, 2022"
Superpower Squad,SQUAD,$0.000129,-4.30%,$9.9 K,$129 K,,0.01x,$4.38 M,"Dec 14, 2022"
Spot,SPOT,$1.16,-1.69%,$70.93 K,$5.19 M,,0.96x,$1 M,"Dec 13, 2022"
SubDAO,GOV,$0.0003,1.45%,$2.57 K,$321 K,,0.01x,$15.3 M,"Dec 11, 2022"
DIMO,DIMO,$0.1381,-3.35%,$1.91 M,$138.1 M,$32.46 M,4.69x,$20.5 M,"Dec 11, 2022"
Oasys,OAS,$0.03062,-2.43%,$996.72 K,$306.2 M,$32.56 M,0.87x,$21.03 M,"Dec 11, 2022"
Primal,PRIMAL,$0.000191,-5.95%,$30.85 K,$915 K,,0.12x,$2.32 M,"Dec 7, 2022"
Camelot Token,GRAIL,$768.41,2.19%,$910.09 K,$56.52 M,,3.03x,$6.27 M,"Dec 5, 2022"
AptosLaunch,ALT,$0.00948,5.91%,$6.17 K,$944 K,,0.14x,$1.8 M,"Dec 3, 2022"
AirTnT,TNT,$0.000161,-7.48%,$38.7 K,$640 K,,0.01x,$170 K,"Nov 30, 2022"
Hooked,HOOK,$0.45,4.83%,$11.75 M,$225.05 M,$77.61 M,4.48x,$8.5 M,"Nov 30, 2022"
Atlas Navi,NAVI,$0.1221,-4.78%,$63.26 K,$36.57 M,$19.74 M,1.48x,$3.1 M,"Nov 28, 2022"
Across,ACX,$0.3515,1.93%,$724.16 K,$351.3 M,$48.53 M,1.69x,$10 M,"Nov 28, 2022"
Across Protocol,ACX,$0.3515,1.93%,$724.16 K,$351.3 M,$48.53 M,4.35x,$10 M,"Nov 28, 2022"
Lodestar,,$0.03344,3.55%,$2.16 K,$665.8 K,,0.06x,$600 K,"Nov 21, 2022"
Galaxy Finance,GLF,$0.00741,-0.91%,$41.46,$17.5 M,,0.01x,$32.99 M,"Nov 16, 2022"
Humanode,HMND,$0.08901,-1.02%,$220.52 K,$35.64 M,$2.84 M,0.59x,$3.71 M,"Nov 14, 2022"
BitMEX,BMEX,$0.1313,-1.13%,$305.57,$59.09 M,$13.1 M,0.2x,,"Nov 10, 2022"
The Mars,MRST,$0.00114,11.56%,$8.35 M,$884.92 K,,0.01x,$1 M,"Nov 8, 2022"
ResearchHub,RSC,$0.231,0.95%,$41.82 K,$232.2 M,$21.99 M,45.81x,$5 M,"Nov 7, 2022"
Hashflow,HFT,$0.1528,-0.51%,$4.33 M,$152.6 M,$67.23 M,0.38x,$30.95 M,"Nov 6, 2022"
Quoll Finance,QUO,$0.00238,0.78%,$2.73 K,$1.2 M,,0.24x,$250 K,"Nov 2, 2022"
SeatlabNFT,SEAT,$0.00165,3.01%,$5.32,$1.39 M,,0.03x,$5.11 M,"Oct 27, 2022"
ECOx,ECOX,$0.1005,2.66%,$25.59 K,$100.6 M,$34.82 M,0.13x,$96.04 M,"Oct 27, 2022"
MagpieXYZ,MGP,$0.1161,1.86%,$36.38 K,$115.7 M,,4.64x,$2.75 M,"Oct 26, 2022"
Vemate,VMT,$0.00568,-11.37%,$11.88 K,$850.5 K,,0.26x,$790 K,"Oct 24, 2022"
AshSwap,ASH,$0.01003,-0.41%,$4.81 K,$10.06 M,,0.25x,$5.3 M,"Oct 21, 2022"
Conic Finance,CNC,$0.1356,-0.86%,$27.32 K,$977.95 K,$582.2 K,0.04x,$1 M,"Oct 19, 2022"
XDAO,XDAO,$0.3738,-0.53%,$77.64 K,$93.7 M,$9.52 M,6.24x,$2.39 M,"Oct 19, 2022"
GetKicks,KICKS,$0.000183,-12.63%,$308.68 K,$1.01 M,,0.04x,$1.94 M,"Oct 17, 2022"
Aptos,APT,$6.53,8.56%,$139.85 M,$7.24 B,$3.08 B,0.48x,$350 M,"Oct 11, 2022"
Kingdom Raids,,$0.000019,29.25%,$932.3,$143.04,,0.01x,$6 M,"Oct 11, 2022"
HistoryDAO,HAO,$0.000877,-4.56%,$98.99 K,$882 K,,0.09x,$100 K,"Oct 9, 2022"
Kapital DAO,KAP,$0.02177,-1.52%,$320.87 K,$21.69 M,$2.77 M,0.11x,$7.08 M,"Oct 7, 2022"
PUMLx,PUMLX,$0.00394,-2.85%,$570.45 K,$1.95 M,$509.25 K,0.06x,$3.79 M,"Oct 6, 2022"
Infinity Angel,ING,$0.000036,-3.26%,$189.12 K,$185 K,,0.01x,$125 K,"Oct 6, 2022"
ISKRA,ISK,$0.03997,-0.46%,$71.73 K,$39.88 M,$2.99 M,0.13x,$40.15 M,"Oct 5, 2022"
Frutti Dino,FDT,$0.000186,1.72%,$16.19 K,$192.39 K,,0.01x,$26.35 M,"Oct 4, 2022"
SpaceN,SN,$0.3524,-0.82%,$12.35 K,$353.8 M,$14.1 M,7.06x,$80 K,"Oct 1, 2022"
Acquire.Fi,ACQ,$0.00664,5.18%,$193.8 K,$1.98 M,$232.67 K,0.07x,$3.94 M,"Sep 28, 2022"
Corite,CO,$0.00189,-0.79%,$111.58 K,$1.89 M,$230.96 K,0.05x,$9.87 M,"Sep 27, 2022"
Inery,INR,$0.00569,3.62%,$45.72 K,$4.54 M,,0.03x,$13.02 M,"Sep 27, 2022"
MIBR,MIBR,$0.06227,-0.63%,$0.69,$624.9 K,$90.39 K,0.06x,$500 K,"Sep 27, 2022"
Axelar,AXL,$0.5737,1.83%,$8.03 M,$664.52 M,$429.46 M,0.57x,$114.69 M,"Sep 26, 2022"
Drac Network,TEDDY,$0.00109,48.72%,$279.73,$76.73 K,,4.91x,,"Sep 23, 2022"
Metaplex,MPLX,$0.245,-6.10%,$550.31 K,$245.7 M,$60.94 M,0.29x,$46 M,"Sep 19, 2022"
ChainPort,CPT,$0.00258,9.84%,$2.36 K,$1.75 M,,0.02x,$13.9 M,"Sep 19, 2022"
Diamond Launch,DLC,$0.1314,-0.74%,$212.88 K,$131.6 M,$12.64 M,3.76x,,"Sep 15, 2022"
ITSBLOC,ITSB,$0.000254,-24.18%,$6.92 K,$270 K,,0.01x,$100 K,"Sep 15, 2022"
Ookeenga,OKG,$0.00017,6.27%,$27.14 K,$85 K,,0.01x,$2.5 M,"Sep 14, 2022"
Stride,STRD,$0.5697,-2.29%,$22.77 K,$49.75 M,$50.03 M,0.34x,$10.7 M,"Sep 13, 2022"
Bnext,B3X,$0.000748,0.04%,$3.45 K,$2.62 M,,0.04x,$57.94 M,"Sep 12, 2022"
Sweatcoin,SWEAT,$0.00588,2.63%,$4.14 M,$125.59 M,$39.94 M,0.83x,$18.69 M,"Sep 12, 2022"
Chirpley,CHIRP,$0.00597,-0.14%,$277.44 K,$5.92 M,$2.47 M,0.28x,$2.91 M,"Sep 11, 2022"
Skeb Coin,SKEB,$0.0008,-11.61%,$522.87,$7.98 M,$6.07 M,0.25x,$7.73 M,"Sep 7, 2022"
Super Walk,GRND,$0.09278,-0.57%,$179.11 K,$91.63 M,$9.82 M,1.53x,,"Sep 7, 2022"
SuperWalk,GRND,$0.09278,-0.57%,$179.11 K,$91.54 M,$9.82 M,1.53x,$100 K,"Sep 7, 2022"
Mechaverse,MC,$0.000922,-18.95%,$217.52 K,$20 M,,0.01x,$600 K,"Sep 6, 2022"
Okse,OKSE,$0.000417,-12.53%,$40.14,$416 K,,0.01x,$330 K,"Sep 5, 2022"
ReadFi,RDF,$0.00177,-14.51%,$1.42 K,$191 K,,0.01x,$165 K,"Sep 1, 2022"
SKYPlay,,$0.000105,-0.01%,$1.68,$1.05 M,,0.01x,$10 M,"Aug 31, 2022"
Goons of Balatroon,GOB,$0.000757,-1.45%,$302.25,$378.5 K,$145.63 K,0.02x,$3.29 M,"Aug 31, 2022"
Spume,SPUME,$0.000398,32.72%,$495.42,$39.8 K,,0.01x,$4.35 M,"Aug 29, 2022"
Wombat Exchange,WOM,$0.01628,-16.45%,$637.44 K,$16.22 M,$952.85 K,0.22x,$9.45 M,"Aug 28, 2022"
Dogechain,DC,$0.000266,-0.90%,$78.7 K,$45.11 M,$7.84 M,0.16x,$51 K,"Aug 25, 2022"
Nodle Cash,NODL,$0.00265,-1.38%,$701 K,$23.09 M,$9.94 M,0.03x,$62.12 M,"Aug 25, 2022"
WhiteBIT Token,WBT,$10.27,-1.20%,$4.11 M,$3.57 B,$1.48 B,5.41x,$88.48 M,"Aug 24, 2022"
CANTO,CANTO,$0.04631,22.00%,$139.18 K,$45.45 M,,0.15x,,"Aug 22, 2022"
Monsterra,MSTR,$0.03028,0.09%,$79.66 K,$2.99 M,$380.01 K,0.15x,$2.38 M,"Aug 19, 2022"
Cryptostone,CPS,$0.00000235,3.89%,$427.72,$68.44 K,,0.01x,$2.29 M,"Aug 17, 2022"
DEFY,DEFY,$0.000069,3.41%,$29.6 K,$172.5 K,,0.01x,$8.07 M,"Aug 14, 2022"
Basilisk,BSX,$0.000052,-8.00%,$14.58 K,$2.6 M,,0.18x,,"Aug 12, 2022"
Fracton Protocol,FT,$0.4286,-11.26%,$150.24 K,$42.84 M,,2.14x,$600 K,"Aug 11, 2022"
Crescent,,$0.000097,0.26%,$0.04,$55.73 K,$47.13 K,0.01x,$5 M,"Aug 11, 2022"
Redacted Cartel,BTRFLY,$204.91,0.17%,$5.02 K,$52.93 M,,0.59x,,"Aug 8, 2022"
Cantina Royale,CRT,$0.00307,-0.65%,$72.18 K,$404.79 K,,0.08x,$6 M,"Aug 6, 2022"
Meta Apes,PEEL,$0.00725,-21.87%,$281.66,$1.48 M,$1.28 M,0.18x,$2 M,"Aug 3, 2022"
Wombat,WOMBAT,$0.000499,-6.62%,$63.23 K,$4.99 M,$1.6 M,0.08x,,"Aug 2, 2022"
Aura Network,AURA,$0.01893,-1.05%,$129.15 K,$8.1 M,,0.29x,$10.44 M,"Aug 1, 2022"
Klap Finance,KLAP,$0.000103,0.26%,$11.53,$103 K,$2.45 K,0.01x,$100 K,"Jul 25, 2022"
Caduceus,CMP,$0.00157,1.98%,$305.92 K,$1.26 M,$284.61 K,0.01x,$4.17 M,"Jul 25, 2022"
Radiant Capital,,$0.06984,3.28%,$8.72 M,$104.4 M,$76.12 M,0.56x,$12.29 M,"Jul 24, 2022"
Amazy,AZY,$0.000959,13.69%,$64.47 K,$947 K,,0.04x,$3.5 M,"Jul 21, 2022"
Meta Octagon,MOTG,$0.000554,-13.74%,$301.06,$1.74 M,,0.01x,$120 K,"Jul 20, 2022"
Xana,XETA,$0.00433,-3.01%,$460.58 K,$541.25 K,,0.43x,$2.6 M,"Jul 19, 2022"
beFitter,FIU,$0.000254,5.43%,$2.23 K,$25.3 K,$12.06 K,0.02x,$1.21 M,"Jul 17, 2022"
ArtMeta,MART,$0.0022,-1.00%,$1.11 K,$30 M,,0.01x,$3.85 M,"Jul 14, 2022"
Astrafer,ASTRAFER,$0.05153,0.62%,$4.08,$45.66 M,$8.06 M,0.02x,$19.3 M,"Jul 14, 2022"
WingRiders,WRT,$0.01703,-2.13%,$56.99 K,$1.7 M,,0.04x,$8.1 M,"Jul 13, 2022"
LeverFi,LEVER,$0.00176,2.75%,$2.33 M,$61.95 M,$58.37 M,7.91x,$8.16 M,"Jul 12, 2022"
Origin Dollar Governance,OGV,$0.00713,0.79%,$297.91 K,$29.32 M,$6.13 M,0.26x,,"Jul 11, 2022"
H2O Securities,H2ON,$0.01398,2.01%,$22.54,$140.7 M,,0.01x,$150 M,"Jul 7, 2022"
Menzy,MNZ,$0.000079,1.45%,$21.09,$12 M,,0.01x,,"Jul 6, 2022"
OpenLeverage,OLE,$0.01513,-3.24%,$52.12 K,$15.11 M,,0.3x,$1.83 M,"Jul 6, 2022"
Unique Network,UNQ,$0.00403,-0.67%,$101.98 K,$4.19 M,,0.02x,$53.25 M,"Jul 6, 2022"
Agoric,,$0.04073,-4.34%,$185.74 K,$40.98 M,$25.67 M,0.06x,$90.25 M,"Jul 1, 2022"
ZigZag,ZZ,$0.00459,-14.75%,$101.03 K,$457 K,,0.01x,$6 M,"Jun 30, 2022"
Zeitgeist,ZTG,$0.01308,-6.97%,$3.07 K,$125 M,,0.01x,$25.62 M,"Jun 30, 2022"
Tari World,TARI,$0.1116,-12.34%,$2.68 K,$334.8 M,,0.01x,$100 K,"Jun 30, 2022"
Interlay,,$0.01337,0.62%,$31.79 K,$13.38 M,$896.06 K,0.17x,,"Jun 29, 2022"
OpenBlox,OBX,$0.000034,4.67%,$22.82 K,$340 K,$88.21 K,0.01x,$3.4 M,"Jun 29, 2022"
Petals,PTS,$0.000016,-1.23%,$4.01 K,$1.6 M,$226 K,0.02x,$100 K,"Jun 28, 2022"
ArthSwap,ARSW,$0.000652,1.14%,$2.11 K,$657 K,$652 K,0.01x,$500 K,"Jun 28, 2022"
Fellaz,FLZ,$1.46,-4.92%,$1.43 M,$2.92 B,,14.59x,$166.65 K,"Jun 27, 2022"
