Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
Nibiru,NIBI,$0.06882,-5.54%,$178.96 K,$103.35 M,,1.37x,$32.5 M,"Mar 11, 2024"
IvendPay,IVPAY,$0.01114,-6.06%,$714.64 K,$11.14 M,$3.31 M,0.37x,$4.2 M,"Mar 11, 2024"
Bonsai,BONSAI,$0.00692,-16.66%,$44.27 K,$6.94 M,$1.95 M,0.31x,$1 M,"Mar 10, 2024"
Scallop.io,SCA,$0.3684,18.17%,$6.59 M,$92.22 M,$15.14 M,0.32x,$3 M,"Mar 7, 2024"
Aether Games,,$0.01557,-2.13%,$46.68 K,$15.54 M,$1.25 M,0.49x,$17.14 M,"Mar 6, 2024"
Weave6,WX,$0.000431,0.91%,$48.4 K,$421 K,,0.03x,$2.69 M,"Mar 4, 2024"
Orbit Protocol,ORBIT,$0.01048,-0.16%,$446.36,$1.04 M,,0.01x,,"Mar 3, 2024"
QORPO World,QORPO,$0.1444,-0.98%,$485.57 K,$37.5 M,,4.36x,$10.26 M,"Feb 29, 2024"
Portal Gaming,PORTAL,$0.2739,5.60%,$6.88 M,$273.3 M,$70.89 M,0.09x,$29 M,"Feb 28, 2024"
MNET,NUUM,$0.02116,-14.31%,$93.45 K,$21.13 M,$873.91 K,0.05x,$40.04 M,"Feb 28, 2024"
QnA3.AI,GPT,$0.08166,5.64%,$715.56 K,$83.24 M,$8.17 M,0.16x,,"Feb 28, 2024"
Beoble,BBL,$0.01389,-3.48%,$4.33 M,$14.05 M,$2.98 M,0.46x,$7.97 M,"Feb 28, 2024"
Dechat,CHAT,$0.2219,3.11%,$3.16 M,$5.53 M,$375.01 K,0.4x,$3.17 M,"Feb 25, 2024"
Sponge V2,SPONGE,$0.00007,0.18%,$3.85 K,$10.5 M,,0.08x,,"Feb 23, 2024"
Smart Layer Network,SNL,$0.2145,-3.18%,$757.82 K,$19.31 M,$3.4 M,0.03x,$6 M,"Feb 23, 2024"
SubQuery Network,SQT,$0.0063,-8.29%,$38.85 K,$63.65 M,$7.2 M,0.53x,$15.8 M,"Feb 22, 2024"
Forgotten Playland,,$0.00407,2.06%,$3.99 K,$40.5 M,$2.24 M,1.02x,$10 M,"Feb 20, 2024"
Octavia,VIA,$0.08806,-2.88%,$102.24 K,$8.73 M,$766.12 K,0.88x,$3.39 M,"Feb 20, 2024"
bitsCrunch,BCUT,$0.03101,-0.21%,$50.2 K,$31.02 M,$2.86 M,0.56x,$12.45 M,"Feb 19, 2024"
StarkNet,STRK,$0.4075,6.84%,$55.67 M,$4.09 B,$660.14 M,0.09x,$282.5 M,"Feb 19, 2024"
Pixels,PIXEL,$0.1437,11.59%,$31.11 M,$712 M,$110.8 M,11.86x,$7.2 M,"Feb 18, 2024"
Stratum Exchange,STRAT,$0.00274,-0.31%,$30.26,$68.5 K,,0.05x,$25 K,"Feb 18, 2024"
Ta-da,TADA,$0.0447,-4.28%,$316.3 K,$44.7 M,$8.68 M,2.03x,$4.55 M,"Feb 15, 2024"
Asterix,,$524.04,5.28%,$13.55 K,$5.24 M,,0.5x,,"Feb 15, 2024"
Synonym Finance,,$0.00784,1.10%,$5.05 K,$6.27 M,$447.49 K,0.07x,$1.5 M,"Feb 14, 2024"
Icon.X World,ICNX,$0.05498,-6.75%,$192.2 K,$5.48 M,,0.73x,$1.1 M,"Feb 10, 2024"
NAVI Protocol,NAVX,$0.06828,30.52%,$4.75 M,$63.15 M,$11.41 M,0.52x,$2.03 M,"Feb 7, 2024"
DevvE,DevvE,$0.1904,-5.09%,$120.47 K,$18.98 M,$8.61 M,0.47x,$4 M,"Feb 7, 2024"
Forward Protocol,FORWARD,$0.0013,-3.12%,$1.9 K,$6.5 M,$174.88 K,0.26x,$1.45 M,"Feb 6, 2024"
Animalia,ANIM,$0.00354,1.53%,$11.56,$384.8 K,,0.04x,$5.09 M,"Feb 6, 2024"
Sailwars,SWT,$0.000014,7.53%,$32.78,$140 K,$18.2 K,0.01x,$400 K,"Feb 5, 2024"
Heroes of Mavia,MAVIA,$1.468,6.64%,$8.98 M,$369.75 M,$44.04 M,0.65x,$8 M,"Feb 5, 2024"
Dymension,DYM,$1.513,17.54%,$17.24 M,$1.53 B,$296.12 M,0.43x,$6.7 M,"Feb 5, 2024"
MixMob,MXM,$0.01024,-2.86%,$35.1 K,$10.36 M,$1.47 M,0.23x,$9.92 M,"Feb 1, 2024"
ZetaChain,ZETA,$0.6685,-4.10%,$143.78 M,$1.4 B,$229.34 M,0.5x,$27 M,"Jan 31, 2024"
De.Fi (prev. DeFiYield),DEFI,$0.02261,-5.49%,$176.09 K,$22.32 M,$5.82 M,0.08x,,"Jan 30, 2024"
DeFiYield,DEFI,$0.02261,-5.49%,$176.09 K,$22.31 M,$5.82 M,0.08x,$2.35 M,"Jan 30, 2024"
Dmail,,$0.2608,0.82%,$3.53 M,$51.32 M,$2.61 M,5.22x,,"Jan 29, 2024"
Cadence Protocol,CAD,$0.1306,2.10%,$650.51,$32.52 M,$4.1 M,0.59x,$3.8 M,"Jan 25, 2024"
AltLayer,ALT,$0.09149,5.87%,$13.88 M,$913.5 M,$204.25 M,5.07x,$37.2 M,"Jan 24, 2024"
GT-Protocol,GTAI,$0.5191,0.62%,$4.79 M,$38.66 M,$1.99 M,2.57x,$5.08 M,"Jan 24, 2024"
Farcana,,$0.01239,-4.64%,$448.76 K,$61.9 M,$3.41 M,1.03x,$10.3 M,"Jan 23, 2024"
Saros Finance,,$0.00148,4.97%,$3.2 M,$14.8 M,,0.06x,$3.75 M,"Jan 19, 2024"
Manta Network,MANTA,$0.7408,5.87%,$22.45 M,$741.6 M,$276.75 M,1.48x,$60.4 M,"Jan 17, 2024"
Ondo Finance,ONDO,$0.755,-0.44%,$120.15 M,$7.57 B,$1.08 B,13.76x,$32.44 M,"Jan 17, 2024"
Soul Society,HON,$0.000185,11.54%,$321.9 K,$191 K,$5.99 K,0.01x,$40 K,"Jan 17, 2024"
ISSP,,$0.000082,9.71%,$90.57 K,$808.17 K,,0.13x,,"Jan 16, 2024"
OORT,OORT,$0.1201,-0.05%,$688.55 K,$238.07 M,$20.58 M,0.8x,$119.51 M,"Jan 15, 2024"
Mar3 AI,MAR3,$0.000551,-13.41%,$279.07 K,$1.1 M,,0.07x,$1.36 M,"Jan 12, 2024"
Moon App,APP,$0.0031,-3.75%,$95.6 K,$9.3 M,$1.26 M,0.46x,$2.03 M,"Jan 11, 2024"
Prism,DUEL,$0.00259,-2.05%,$754.64 K,$25.9 M,$7.65 M,0.6x,,"Jan 11, 2024"
GameGPT,DUEL,$0.00259,-2.05%,$754.64 K,$25.9 M,$7.65 M,0.61x,$960 K,"Jan 11, 2024"
Magic Square,SQR,$0.0866,-6.25%,$131.12 K,$86.27 M,$6.67 M,0.86x,$13.85 M,"Jan 10, 2024"
Your Open Metaverse,YOM,$0.03806,-1.85%,$6.64 K,$11.38 M,$4.8 M,0.51x,$3.08 M,"Jan 10, 2024"
Xai,XAI,$0.2281,4.39%,$15.06 M,$569 M,$63.21 M,6.48x,,"Jan 8, 2024"
Port3 Network,,$0.03953,-0.30%,$485.56 K,$39.39 M,$899.31 K,0.79x,$10.16 M,"Jan 7, 2024"
ZKFair,ZKF,$0.000939,2.50%,$3.11 M,$9.4 M,$9.39 M,0.05x,,"Jan 5, 2024"
Sleepless AI,,$0.405,1.95%,$15.36 M,$405 M,$83.66 M,0.01x,,"Jan 3, 2024"
